UniqueName;Parent;Kind;Path;Line;Col;EndLine;EndCol;WarningID
SpaghettiCode:Program~Cl;SpaghettiCode~Ns;Class;D:\Projects\SpaghettiCode\SpaghettiCode\Program.cs;11;5;409;5;ECS1005
SpaghettiCode:Program~Cl;SpaghettiCode~Ns;Class;D:\Projects\SpaghettiCode\SpaghettiCode\Program.cs;11;5;409;5;ECS2018-1
SpaghettiCode:Program~Cl;SpaghettiCode~Ns;Class;D:\Projects\SpaghettiCode\SpaghettiCode\Program.cs;11;5;409;5;ECS2018-2
SpaghettiCode:Program~Cl;SpaghettiCode~Ns;Class;D:\Projects\SpaghettiCode\SpaghettiCode\Program.cs;11;5;409;5;ECS3025
SpaghettiCode:Program.Main@System:Void~St@(System:String~Cl[])~Fm;SpaghettiCode:Program~Cl;Method;D:\Projects\SpaghettiCode\SpaghettiCode\Program.cs;34;21;44;21;ECS1011
SpaghettiCode:Program.Main@System:Void~St@(System:String~Cl[])~Fm;SpaghettiCode:Program~Cl;Method;D:\Projects\SpaghettiCode\SpaghettiCode\Program.cs;75;25;82;25;ECS1011
SpaghettiCode:Program.Main@System:Void~St@(System:String~Cl[])~Fm;SpaghettiCode:Program~Cl;Method;D:\Projects\SpaghettiCode\SpaghettiCode\Program.cs;86;21;96;21;ECS1011
SpaghettiCode:Program.Main@System:Void~St@(System:String~Cl[])~Fm;SpaghettiCode:Program~Cl;Method;D:\Projects\SpaghettiCode\SpaghettiCode\Program.cs;136;29;143;29;ECS1011
SpaghettiCode:Program.Main@System:Void~St@(System:String~Cl[])~Fm;SpaghettiCode:Program~Cl;Method;D:\Projects\SpaghettiCode\SpaghettiCode\Program.cs;148;21;158;21;ECS1011
SpaghettiCode:Program.Main@System:Void~St@(System:String~Cl[])~Fm;SpaghettiCode:Program~Cl;Method;D:\Projects\SpaghettiCode\SpaghettiCode\Program.cs;179;25;186;25;ECS1011
SpaghettiCode:Program.Main@System:Void~St@(System:String~Cl[])~Fm;SpaghettiCode:Program~Cl;Method;D:\Projects\SpaghettiCode\SpaghettiCode\Program.cs;190;21;200;21;ECS1011
SpaghettiCode:Program.Main@System:Void~St@(System:String~Cl[])~Fm;SpaghettiCode:Program~Cl;Method;D:\Projects\SpaghettiCode\SpaghettiCode\Program.cs;229;21;236;21;ECS1011
SpaghettiCode:Program.Main@System:Void~St@(System:String~Cl[])~Fm;SpaghettiCode:Program~Cl;Method;D:\Projects\SpaghettiCode\SpaghettiCode\Program.cs;240;17;250;17;ECS1011
SpaghettiCode:Program.Main@System:Void~St@(System:String~Cl[])~Fm;SpaghettiCode:Program~Cl;Method;D:\Projects\SpaghettiCode\SpaghettiCode\Program.cs;258;29;264;29;ECS1011
SpaghettiCode:Program.Main@System:Void~St@(System:String~Cl[])~Fm;SpaghettiCode:Program~Cl;Method;D:\Projects\SpaghettiCode\SpaghettiCode\Program.cs;268;25;278;25;ECS1011
SpaghettiCode:Program.Main@System:Void~St@(System:String~Cl[])~Fm;SpaghettiCode:Program~Cl;Method;D:\Projects\SpaghettiCode\SpaghettiCode\Program.cs;309;33;316;33;ECS1011
SpaghettiCode:Program.Main@System:Void~St@(System:String~Cl[])~Fm;SpaghettiCode:Program~Cl;Method;D:\Projects\SpaghettiCode\SpaghettiCode\Program.cs;320;29;330;29;ECS1011
SpaghettiCode:Program.Main@System:Void~St@(System:String~Cl[])~Fm;SpaghettiCode:Program~Cl;Method;D:\Projects\SpaghettiCode\SpaghettiCode\Program.cs;362;45;369;45;ECS1011
SpaghettiCode:Program.Main@System:Void~St@(System:String~Cl[])~Fm;SpaghettiCode:Program~Cl;Method;D:\Projects\SpaghettiCode\SpaghettiCode\Program.cs;373;41;383;41;ECS1011
